Date,2022 April,Diseases,Cases,Deaths
2022 April,2022 April,Plague,0,0
2022 April,2022 April,Cholera,0,0
2022 April,2022 April,SARS-CoV,0,0
2022 April,2022 April,Acquired immune deficiency syndrome,3837,1387
2022 April,2022 April,Hepatitis,117617,39
2022 April,2022 April,Hepatitis A,896,0
2022 April,2022 April,Hepatitis B,95933,28
2022 April,2022 April,Hepatitis C,17712,10
2022 April,2022 April,Hepatitis D,22,0
2022 April,2022 April,Hepatitis E,2525,1
2022 April,2022 April,Other hepatitis,529,0
2022 April,2022 April,Poliomyelitis,0,0
2022 April,2022 April,Human infection with H5N1 virus,0,0
2022 April,2022 April,Measles,52,0
2022 April,2022 April,Epidemic hemorrhagic fever,333,2
2022 April,2022 April,Rabies,9,5
2022 April,2022 April,Japanese encephalitis,0,0
2022 April,2022 April,Dengue,0,0
2022 April,2022 April,Anthrax,22,0
2022 April,2022 April,Dysentery,2587,0
2022 April,2022 April,Tuberculosis,61185,341
2022 April,2022 April,Typhoid fever and paratyphoid fever,421,0
2022 April,2022 April,Meningococcal meningitis,7,0
2022 April,2022 April,Pertussis,3415,0
2022 April,2022 April,Diphtheria,0,0
2022 April,2022 April,Neonatal tetanus,2,0
2022 April,2022 April,Scarlet fever,1639,0
2022 April,2022 April,Brucellosis,7124,0
2022 April,2022 April,Gonorrhea,7821,1
2022 April,2022 April,Syphilis,39513,3
2022 April,2022 April,Leptospirosis,3,0
2022 April,2022 April,Schistosomiasis,1,0
2022 April,2022 April,Malaria,34,0
2022 April,2022 April,Human infection with H7N9 virus,0,0
2022 April,2022 April,COVID-19,65484,422
2022 April,2022 April,Influenza,37567,0
2022 April,2022 April,Mumps,9968,0
2022 April,2022 April,Rubella,97,0
2022 April,2022 April,Acute hemorrhagic conjunctivitis,2455,0
2022 April,2022 April,Leprosy,34,0
2022 April,2022 April,Typhus,89,0
2022 April,2022 April,Kala azar,24,0
2022 April,2022 April,Echinococcosis,283,0
2022 April,2022 April,Filariasis,0,0
2022 April,2022 April,Infectious diarrhea,74986,0
2022 April,2022 April,Hand foot and mouth disease,44794,0
2022 April,2022 April,Total,481403,2200
